Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
Kevon Looney,22,GSW,C,80,24,1481,17.3,0.636,0.029,0.303,14.6,15.4,15.0,10.9,1.5,3.0,11.5,12.8,4.2,1.8,6.0,0.194,0.1,0.4,0.5,0.9,,looneke01
Iman Shumpert,28,2TM,SG,62,41,1481,9.1,0.499,0.612,0.101,1.9,11.4,6.5,9.9,1.9,1.4,9.7,14.5,0.1,1.2,1.4,0.045,-2.4,0.5,-1.9,0.0,,shumpim01
Iman Shumpert,28,SAC,SG,42,40,1099,10.1,0.511,0.580,0.118,1.7,10.6,6.0,10.7,2.0,1.6,9.4,15.2,0.3,0.9,1.2,0.054,-1.9,0.6,-1.3,0.2,,shumpim01
Iman Shumpert,28,HOU,SG,20,1,382,6.3,0.456,0.724,0.041,2.3,13.6,7.8,7.6,1.5,0.9,10.7,12.7,-0.2,0.3,0.2,0.019,-4.0,0.2,-3.7,-0.2,,shumpim01
Gerald Green,33,HOU,SG,73,0,1473,11.4,0.555,0.763,0.118,2.2,11.7,6.8,4.1,1.1,1.6,8.3,19.5,0.9,1.0,1.9,0.061,-0.2,-1.5,-1.7,0.1,,greenge01
T.J. McConnell,26,PHI,PG,76,3,1470,13.4,0.555,0.100,0.088,2.1,10.2,6.3,24.7,2.5,0.9,17.3,15.0,1.2,1.7,2.9,0.094,-1.8,0.9,-0.9,0.4,,mccontj01
E'Twaun Moore,29,NOP,SG,53,36,1463,11.5,0.567,0.331,0.111,2.5,6.4,4.5,9.5,1.3,0.4,9.6,17.3,1.2,0.5,1.7,0.055,-1.2,-1.1,-2.3,-0.1,,mooreet01
Allonzo Trier,23,NYK,SG,64,3,1459,12.2,0.564,0.255,0.431,2.2,12.2,7.1,12.9,0.9,0.8,15.8,21.5,0.4,0.5,0.9,0.030,-1.6,-1.5,-3.1,-0.4,,trieral01
Bruce Brown,22,DET,SG,74,56,1449,6.9,0.469,0.296,0.191,3.5,10.7,7.0,8.8,1.4,2.1,11.9,11.5,-0.1,1.6,1.5,0.048,-4.4,1.0,-3.3,-0.5,,brownbr01
Ed Davis,29,BRK,C,81,1,1446,17.3,0.632,0.007,0.536,15.8,34.6,25.2,6.0,1.2,1.8,14.6,12.7,3.3,2.5,5.7,0.191,-0.6,0.7,0.0,0.7,6MOY-11,davised01
